nID;sID;sName_UA;sName_RU;nID_ServiceTagType;nOrder;sLinkImage;sNote
1;personalni_dokumenti;Персональні документи;Персональні документи;2;1;/wf/VAADIN/themes/activiti/img/services/family_room.svg;[*]
2;Family;Родина та знакові події;Родина та знакові події;2;2;/wf/VAADIN/themes/activiti/img/services/family_room.svg;
10;Derzhavna_reyestratciya_prava_vlasnostі_na_neruhome_mayno;[Операції з майном] Державна реєстрація права власності на нерухоме майно;[Операції з майном] Державна реєстрація права власності на нерухоме майно;3;10;;[*]
11;Dokumenty_dlia_oformlennia_pasporta_pri_zmіnі_MPP;[Закордонний паспорт] Документи для оформлення паспорта при зміні МПП;[Закордонний паспорт] Документи для оформлення паспорта при зміні МПП;3;10;;[*]
12;Dovіdki_pro_sklad_sіmyi;[Склад сім'ї] Довідки про склад сім'ї;[Склад сім'ї] Довідки про склад сім'ї;3;10;;[*]
13;Dovіdki_shchodo_mіstcia_prozhivannia;[Місце проживання] Довідки щодо місця проживання;[Місце проживання] Довідки щодо місця проживання;3;10;;[*]
14;Iakshcho_vi_ne_bazhayete_vnositi_vіdbytky_paltcіv_do_zakordonnogo_pasportu;[Закордонний паспорт] Якщо ви не бажаєте вносити відбитки пальців до закордонного паспорту;[Закордонний паспорт] Якщо ви не бажаєте вносити відбитки пальців до закордонного паспорту;3;10;;[*]
15;Mainovі_pitannia;[Діти] Майнові питання;[Діти] Майнові питання;3;10;;[*]
16;Operatcіyi_z_zemelnymy_dіlyankamy;[Земельні ділянки] Операції з земельними ділянками;[Земельні ділянки] Операції з земельними ділянками;3;10;;[*]
17;Otrimannia_ID-kartki_zamіst_vcleiuvannia_fotokartok_pri_dosiagnennі_25_abo_45_rokіv;[Паспорт громадянина України] Отримання ID-картки замість вклеювання фотокарток при досягненні 25 або 45 років;[Паспорт громадянина України] Отримання ID-картки замість вклеювання фотокарток при досягненні 25 або 45 років;3;10;;[*]
18;Pensіyne_posvіdchennia;[Посвідчення] Пенсійне посвідчення;[Посвідчення] Пенсійне посвідчення;3;10;;[*]
19;Postanovka_na_oblіk_u_vіiskkomat;[Діти] Постановка на облік у військкомат;[Діти] Постановка на облік у військкомат;3;10;;[*]
20;Posvіdchennia_bagatodіtnoyi_sіmyi;[Посвідчення] Посвідчення багатодітної сім'ї ;[Посвідчення] Посвідчення багатодітної сім'ї ;3;10;;[*]
21;Posvіdchennia_moriaka_ta_chlenu_ekіpazhu;[Посвідчення] Посвідчення моряка та члену екіпажу;[Посвідчення] Посвідчення моряка та члену екіпажу;3;10;;[*]
22;Posvіdchennia_uchasnika_vіyny;[Посвідчення] Посвідчення учасника війни;[Посвідчення] Посвідчення учасника війни;3;10;;[*]
23;Posvіdchennia_Veteran_pratcy;[Посвідчення] Посвідчення «Ветеран праці»;[Посвідчення] Посвідчення «Ветеран праці»;3;10;;[*]
24;Shcho_robiti,_yakshcho_pomerla_blyzka_lyudyna;[Смерть] Що робити, якщо померла близька людина;[Смерть] Що робити, якщо померла близька людина;3;10;;[*]
26;Vibіr_іmenі_ta_prіzvishcha_dlia_dytyny;[Діти] Вибір імені та прізвища для дитини;[Діти] Вибір імені та прізвища для дитини;3;10;;[*]
27;Vidacha_posvіdchen_reabіlіtovanim_gromadianam;[Посвідчення] Видача посвідчень реабілітованим громадянам;[Посвідчення] Видача посвідчень реабілітованим громадянам;3;10;;[*]
28;Vihovannia_dytyny;[Діти] Виховання дитини;[Діти] Виховання дитини;3;10;;[*]
29;Vyyizd_z_Ukrayiny_na_postiyne_mіstce_prozhivannia;[Громадянство та місце постійного проживання] Виїзд з України на постійне місце проживання;[Громадянство та місце постійного проживання] Виїзд з України на постійне місце проживання;3;10;;[*]
3;SocHalp;Соціальна допомога;Соціальна допомога;2;3;/wf/VAADIN/themes/activiti/img/services/lifesaver.svg;
30;Yak_dytyny_otrimati_pasport_gromadianina_Ukrayini;[Діти] Як дитині отримати паспорт громадянина України;[Діти] Як дитині отримати паспорт громадянина України;3;10;;[*]
31;Yak_dytyny_otrimati_іndivіdualnii_podatkovii_nomer;[Діти] Як дитині отримати індивідуальний податковий номер;[Діти] Як дитині отримати індивідуальний податковий номер;3;10;;[*]
32;Yak_obmіniati_pasport_u_razі_zmіni_prіzvishcha,_іmenі_abo_po_batkovі;[Паспорт громадянина України] Як обміняти паспорт у разі зміни прізвища, імені або по батькові;[Паспорт громадянина України] Як обміняти паспорт у разі зміни прізвища, імені або по батькові;3;10;;[*]
33;Yak_obmіniati_pasportu_v_razі_nepridatnostі_dlia_koristuvannia;[Паспорт громадянина України] Як обміняти паспорту в разі непридатності для користування;[Паспорт громадянина України] Як обміняти паспорту в разі непридатності для користування;3;10;;[*]
34;Yak_oformyty_zakordonnyy_pasport_dytyny;[Закордонний паспорт] Як оформити закордонний паспорт дитині;[Закордонний паспорт] Як оформити закордонний паспорт дитині;3;10;;[*]
35;Yak_oformyty_zakordonnyy_pasport_pіslia_16_rokіv;[Закордонний паспорт] Як оформити закордонний паспорт після 16 років;[Закордонний паспорт] Як оформити закордонний паспорт після 16 років;3;10;;[*]
36;Yak_oformytypasport_po_dosiagnenniu_14-rіchnogo_vіku;[Паспорт громадянина України] Як оформити паспорт по досягненню 14-річного віку;[Паспорт громадянина України] Як оформити паспорт по досягненню 14-річного віку;3;10;;[*]
37;Yak_oformytypasport_pіslia_nabuttia_gromadianstva_Ukrayini;[Громадянство та місце постійного проживання] Як оформити паспорт після набуття громадянства України;[Громадянство та місце постійного проживання] Як оформити паспорт після набуття громадянства України;3;10;;[*]
38;Yak_oformytypasport_pіslia_nabuttia_gromadianstva_Ukrayini;[Паспорт громадянина України] Як оформити паспорт після набуття громадянства України;[Паспорт громадянина України] Як оформити паспорт після набуття громадянства України;3;10;;[*]
39;Yak_oformytypasport_pіslia_povernennia_v_Ukrayinu_z_PMZH_za_kordonom;[Громадянство та місце постійного проживання] Як оформити паспорт після повернення в Україну з ПМЖ за кордоном;[Громадянство та місце постійного проживання] Як оформити паспорт після повернення в Україну з ПМЖ за кордоном;3;10;;[*]
4;Auto;Автотранспорт;Автотранспорт;2;4;/wf/VAADIN/themes/activiti/img/services/car.svg;
40;Yak_oformytypasport_pіslia_povernennia_v_Ukrayinu_z_PMZH_za_kordonom;[Паспорт громадянина України] Як оформити паспорт після повернення в Україну з ПМЖ за кордоном;[Паспорт громадянина України] Як оформити паспорт після повернення в Україну з ПМЖ за кордоном;3;10;;[*]
41;Yak_oformytypasport_zamіst_vtrachenogo_chi_vikradenogo;[Паспорт громадянина України] Як оформити паспорт замість втраченого чи викраденого;[Паспорт громадянина України] Як оформити паспорт замість втраченого чи викраденого;3;10;;[*]
42;Yak_oformytyperepustku_v_zonu_ATO;[Внутрішньо переміщені особи] Як оформити перепустку в зону АТО;[Внутрішньо переміщені особи] Як оформити перепустку в зону АТО;3;10;;[*]
43;yak_oformiti_pokupku_bu_avtomobilya;[Купівля/продаж/обмін авто]Як оформити покупку б/у автомобіля;[Купівля/продаж/обмін авто]Як оформити покупку б/у автомобіля;3;10;;[*]
44;Yak_oformytypokupku_novogo_avtomobіlia_z_salonu;[Купівля/продаж/обмін авто] Як оформити покупку нового автомобіля з салону;[Купівля/продаж/обмін авто] Як оформити покупку нового автомобіля з салону;3;10;;[*]
45;Yak_oformytyprodazh_avtomobіlia;[Купівля/продаж/обмін авто] Як оформити продаж автомобіля;[Купівля/продаж/обмін авто] Як оформити продаж автомобіля;3;10;;[*]
46;Yak_oformytyrozluchennia;[Розлучення] Як оформити розлучення?;[Розлучення] Як оформити розлучення?;3;10;;[*]
47;Yak_oformytyzakordonnyy_pasport_dlia_dytyny;[Діти] Як оформити закордонний паспорт для дитини;[Діти] Як оформити закордонний паспорт для дитини;3;10;;[*]
48;Yak_otrimati_dopomogu_pri_narodzhennі_dytyny;[Діти] Як отримати допомогу при народженні дитини;[Діти] Як отримати допомогу при народженні дитини;3;10;;[*]
49;Yak_otrimati_dopomogu_u_zvyazku_z_vagіtnіstiu_ta_pologami;[Діти] Як отримати допомогу у зв’язку з вагітністю та пологами;[Діти] Як отримати допомогу у зв’язку з вагітністю та пологами;3;10;;[*]
5;Home;Житлові питання;Житлові питання;2;5;/wf/VAADIN/themes/activiti/img/services/key.svg;
50;Yak_otrimati_drugyy_zakordonnyy_pasport;[Закордонний паспорт] Як отримати другий закордонний паспорт;[Закордонний паспорт] Як отримати другий закордонний паспорт;3;10;;[*]
51;Yak_otrimati_kopіyu_rіshennia_chi_rozporiadzhennia;[Рішення та розпорядження] Як отримати копію рішення чи розпорядження?;[Рішення та розпорядження] Як отримати копію рішення чи розпорядження?;3;10;;[*]
52;Yak_otrimati_sotcіalne_zhitlo;[Соціальне житло] Як отримати соціальне житло?;[Соціальне житло] Як отримати соціальне житло?;3;10;;[*]
53;Yak_otrimati_subsidіyu;[Субсидії] Як отримати субсидію?;[Субсидії] Як отримати субсидію?;3;10;;[*]
54;Yak_otrimati_svіdotctvo_pro_narodzhennia_dytyny;[Діти] Як отримати свідоцтво про народження дитини;[Діти] Як отримати свідоцтво про народження дитини;3;10;;[*]
55;Yak_otrimati_svіdotctvo_pro_narodzhennia_dytyny;[Свідоцтво про народження] Як отримати свідоцтво про народження дитини;[Свідоцтво про народження] Як отримати свідоцтво про народження дитини;3;10;;[*]
56;Yak_otrimaty_status_bagatodіtnoyi_sіmyi;[Багатодітні сім'ї] Як отримати статус багатодітної сім'ї?;[Багатодітні сім'ї] Як отримати статус багатодітної сім'ї?;3;10;;[*]
57;Yak_otrimaty_vodyyske_posvіdchennia;[Посвідчення] Як отримати водійське посвідчення;[Посвідчення] Як отримати водійське посвідчення;3;10;;[*]
58;Yak_otrimaty_zemelnu_dіlianku;[Земельні ділянки] Як отримати земельну ділянку?;[Земельні ділянки] Як отримати земельну ділянку?;3;10;;[*]
59;Yak_pereobladnaty_avtomobіl;[Купівля/продаж/обмін авто] Як переобладнати автомобіль;[Купівля/продаж/обмін авто] Як переобладнати автомобіль;3;10;;[*]
60;Yak_perereyestruvaty_avtomobіl;[Купівля/продаж/обмін авто] Як перереєструвати автомобіль;[Купівля/продаж/обмін авто] Як перереєструвати автомобіль;3;10;;[*]
61;Yak_perevezty_nebezpechnyy_vantazh;[Дорожній рух] Як перевезти небезпечний вантаж;[Дорожній рух] Як перевезти небезпечний вантаж;3;10;;[*]
62;Yak_perevezty_velikovagovyy_abo_veilkogabaritnyy_vantazh;[Дорожній рух] Як перевезти великоваговий або веилкогабаритний вантаж;[Дорожній рух] Як перевезти великоваговий або веилкогабаритний вантаж;3;10;;[*]
63;Yak_podati_zvernennia_do_derzhavnikh_posadovtcіv;[Звернення до посадовців] Як подати звернення до державних посадовців;[Звернення до посадовців] Як подати звернення до державних посадовців;3;10;;[*]
64;Yak_podaty_іnformatcіyniy_zapit;[Звернення до посадовців] Як подати інформаційний запит;[Звернення до посадовців] Як подати інформаційний запит;3;10;;[*]
65;Yak_privatizuvaty_zhitlo;[Приватизація] Як приватизувати житло?;[Приватизація] Як приватизувати житло?;3;10;;[*]
66;Yak_rozpochaty_budіvnytctvo;[Будівництво] Як розпочати будівництво?;[Будівництво] Як розпочати будівництво?;3;10;;[*]
67;Yak_stati_opіkunom,_pіcluvalnikom_abo_usinoviti_dytynu;[Опіка, піклування, усиновлення] Як стати опікуном, піклувальником або усиновити дитину?;[Опіка, піклування, усиновлення] Як стати опікуном, піклувальником або усиновити дитину?;3;10;;[*]
6;Earth;Земля та будівництво;Земля та будівництво;2;6;/wf/VAADIN/themes/activiti/img/services/private_house.svg;
68;Yak_vikonaty_pereobladnannya_і_pereplanuvannya;[Будівництво] Як виконати переобладнання і перепланування?;[Будівництво] Як виконати переобладнання і перепланування?;3;10;;[*]
69;Yak_vkleyity_fotokartku_pri_dosiagnennі_25_abo_45_rokіv;[Паспорт громадянина України] Як вклеїти фотокартку при досягненні 25 або 45 років;[Паспорт громадянина України] Як вклеїти фотокартку при досягненні 25 або 45 років;3;10;;[*]
7;Real_estate;Нерухоме майно;Нерухоме майно;2;7;/wf/VAADIN/themes/activiti/img/services/house.svg;
70;Yak_vvesti_budynok_v_ekspluatatcіyu;[Будівництво] Як ввести будинок в експлуатацію? ;[Будівництво] Як ввести будинок в експлуатацію? ;3;10;;[*]
71;Yak_vіdnoviti_vstracheniy_abo_vikradeniny_zakordonnyy_pasport;[Закордонний паспорт] Як відновити встрачений або викраденинй закордонний паспорт;[Закордонний паспорт] Як відновити встрачений або викраденинй закордонний паспорт;3;10;;[*]
72;Yak_vіdnovyty_vtrachene_svіdotctvo_pro_narodzhennia;[Свідоцтво про народження] Як відновити втрачене свідоцтво про народження;[Свідоцтво про народження] Як відновити втрачене свідоцтво про народження;3;10;;[*]
73;Yak_zareyestruvati_ditinu_v_ditiachyy_sadok;[Діти] Як зареєструвати дитину в дитячий садок;[Діти] Як зареєструвати дитину в дитячий садок;3;10;;[*]
74;Yak_zareyestruvati_mіstce_prozhivannia_dytyny;[Діти] Як зареєструвати місце проживання дитини;[Діти] Як зареєструвати місце проживання дитини;3;10;;[*]
75;Yak_zareyestruvaty_shliub;[Одруження] Як зареєструвати шлюб? ;[Одруження] Як зареєструвати шлюб? ;3;10;;[*]
76;Yak_zareyestruvaty_vvezenyy_v_Ukrayinu_avtomobіl;[Купівля/продаж/обмін авто] Як зареєструвати ввезений в Україну автомобіль;[Купівля/продаж/обмін авто] Як зареєструвати ввезений в Україну автомобіль;3;10;;[*]
77;Yak_zmіniti_prіzvishche_dytyny;[Зміна прізвища] Як змінити прізвище дитині;[Зміна прізвища] Як змінити прізвище дитині;3;10;;[*]
78;Yak_zmіniti_prіzvishche_pri_ucladennі_shliubu;[Зміна прізвища] Як змінити прізвище при укладенні шлюбу;[Зміна прізвища] Як змінити прізвище при укладенні шлюбу;3;10;;[*]
79;Yak_zmіniti_prіzvishche_іmia_abo_po_batkovі_za_vlasnim_bazhanniam;[Зміна прізвища] Як змінити прізвище, імя або по батькові за власним бажанням;[Зміна прізвища] Як змінити прізвище, імя або по батькові за власним бажанням;3;10;;[*]
8;Other;Інше;Інше;2;8;/wf/VAADIN/themes/activiti/img/services/archive.svg;
80;Yak_zmіnyty_danі_vlasnika_avtomobіlia;[Зміна прізвища] Як змінити дані власника автомобіля;[Зміна прізвища] Як змінити дані власника автомобіля;3;10;;[*]
81;Yak_zmіnyty_mіstce_prozhivannia;[Місце проживання] Як змінити місце проживання?;[Місце проживання] Як змінити місце проживання?;3;10;;[*]
82;Zapovіt_ta_spadshchina;[Смерть] Заповіт та спадщина;[Смерть] Заповіт та спадщина;3;10;;[*]
83;Zapysatys_na_pryom_do_lykarya;[Медицина] Записатись на прийом до лікаря;[Медицина] Записатись на прийом до лікаря;3;10;;[*]
84;Zmіna_prіzvishcha_іmenі_po_batkovі_u_razі_usinovlennia;[Зміна прізвища] Зміна прізвища, імені, по батькові у разі усиновлення;[Зміна прізвища] Зміна прізвища, імені, по батькові у разі усиновлення;3;10;;[*]
9;Arkhіvnі_dovіdky;[Архівні послуги] Архівні довідки;[Архівні послуги] Архівні довідки;3;10;;[*]
85;Test;[Тестові послуги] _Тест;[Тестові послуги] _Тест;3;10;;[*]
86;Preparatory works;[Будівництво] Підготовчі роботи;[Будівництво] Підготовчі роботи;3;601;;[*]
87;Construction;[Будівництво] Будівельні роботи;[Будівництво] Будівельні роботи;3;602;;[*]
88;Exploitation;[Будівництво] Прийняття в експлуатацію;[Будівництво] Прийняття в експлуатацію;3;603;;[*]
89;yak_zareyestruvati_avtomobil_vidpovidno_do_novogo_zakonovdavstva;[Купівля/продаж/обмін авто]Як зареєструвати автомобіль відповідно до нового законовдавства;[Купівля/продаж/обмін авто]Як зареєструвати автомобіль відповідно до нового законовдавства;3;10;;[*]
